x,y
0.0,1.0
0.03,1.0304
0.06,1.0603
0.09,1.0897
0.12,1.1185
0.15,1.1468
0.18,1.1746
0.21,1.2019
0.24,1.2286
0.27,1.2548
0.3,1.2805
0.33,1.3056
0.36,1.3302
0.39,1.3543
0.42,1.3778
0.45,1.4008
0.48,1.4233
0.51,1.4453
0.54,1.4667
0.57,1.4876
0.6,1.5079
0.63,1.5278
0.66,1.5471
0.69,1.5659
0.72,1.5841
0.75,1.6018
0.78,1.619
0.81,1.6357
0.84,1.6518
0.87,1.6674
0.9,1.6825
0.93,1.697
0.96,1.711
0.99,1.7245
1.02,1.7375
1.05,1.7499
1.08,1.7618
1.11,1.7732
1.14,1.784
1.17,1.7943
1.2,1.8041
1.23,1.8133
1.26,1.822
1.29,1.8302
1.32,1.8379
1.35,1.845
1.38,1.8516
1.41,1.8577
1.44,1.8632
1.47,1.8682
1.5,1.8727
1.53,1.8767
1.56,1.8801
1.59,1.883
1.62,1.8853
1.65,1.8872
1.68,1.8885
1.71,1.8892
1.74,1.8895
1.77,1.8892
1.8,1.8884
1.83,1.887
1.86,1.8852
1.89,1.8827
1.92,1.8798
1.95,1.8763
1.98,1.8724
2.01,1.8678
2.04,1.8628
2.07,1.8572
2.1,1.8511
2.13,1.8444
2.16,1.8373
2.19,1.8296
2.22,1.8213
2.25,1.8126
2.28,1.8033
2.31,1.7935
2.34,1.7831
2.37,1.7723
2.4,1.7608
2.43,1.7489
2.46,1.7364
2.49,1.7234
2.52,1.7099
2.55,1.6959
2.58,1.6813
2.61,1.6662
2.64,1.6505
2.67,1.6344
2.7,1.6177
2.73,1.6004
2.76,1.5827
2.79,1.5644
2.82,1.5455
2.85,1.5262
2.88,1.5063
2.91,1.4859
2.94,1.465
2.97,1.4435
3.0,0.5153
3.93,0.4769
3.96,0.4379
3.99,0.3985
4.02,0.3585
4.05,0.3179
4.08,0.2769
4.11,0.2353
4.14,0.1932
4.17,0.1505
4.2,0.1073
4.23,0.0636
4.26,0.0194
4.29,-0.0254
4.32,-0.0707
4.35,-0.1165
4.38,-0.1629
4.41,-0.2098
4.44,-0.2572
4.47,-0.3051
4.5,-0.3536
4.53,-0.4026
4.56,-0.4521
4.59,-0.5022
4.62,-0.5528
4.65,-0.6039
4.68,-0.6556
4.71,-0.7078
4.74,-0.7605
4.77,-0.8137
4.8,-0.8675
4.83,-0.9218
4.86,-0.9766
4.89,-1.032
4.92,-1.0879
4.95,-1.1443
4.98,-1.2012
5.01,-1.2587
5.04,-1.3167
5.07,-1.3753
5.1,-1.4343
5.13,-1.4939
5.16,-1.5541
5.19,-1.6147
5.22,-1.6759
5.25,-1.7376
5.28,-1.7999
5.31,-1.8626
5.34,-1.9259
5.37,-1.9898
5.4,-2.0541
5.43,-2.119
5.46,-2.1844
5.49,-2.2504
5.52,-2.3169
5.55,-2.3839
5.58,-2.4514
5.61,-2.5195
5.64,-2.5881
5.67,-2.6572
5.7,-2.7269
5.73,-2.7971
5.76,-2.8678
5.79,-2.939
5.82,-3.0108
5.85,-3.0831
5.88,-3.156
5.91,-3.2293
5.94,-3.3032
5.97,-3.3776
6.0,-3.4526
